decision_time,symbol,route,valid,score,failed_checks
2026-05-24 19:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 19:00:00,SOLUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|volume
2026-05-24 19:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 19:00:00,XRPUSDT,IGNITION,False,33.0,market_state|base_structure|reclaim|acceleration|volume|relative_strength
2026-05-24 19:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,22.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi|relative_strength
2026-05-24 19:00:00,LINKUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|volume
2026-05-24 19:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 19:00:00,DOGEUSDT,IGNITION,False,33.0,market_state|base_structure|reclaim|acceleration|volume|relative_strength
2026-05-24 19:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,22.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi|relative_strength
2026-05-24 20:00:00,BTCUSDT,IGNITION,False,65.0,market_state|base_structure|volume
2026-05-24 20:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,40.0,market_state|trend_structure|breakout|momentum|volume
2026-05-24 20:00:00,ETHUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|volume
2026-05-24 20:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,36.0,market_state|trend_structure|breakout|momentum|volume|rsi
2026-05-24 20:00:00,SOLUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|volume
2026-05-24 20:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 20:00:00,XRPUSDT,IGNITION,False,33.0,market_state|base_structure|reclaim|acceleration|volume|relative_strength
2026-05-24 20:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|volume|rsi|relative_strength
2026-05-24 20:00:00,LINKUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|volume
2026-05-24 20:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,26.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi
2026-05-24 20:00:00,DOGEUSDT,IGNITION,False,33.0,market_state|base_structure|reclaim|acceleration|volume|relative_strength
2026-05-24 20:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|volume|rsi|relative_strength
2026-05-24 21:00:00,BTCUSDT,IGNITION,False,42.0,market_state|base_structure|reclaim|acceleration
2026-05-24 21:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,36.0,market_state|trend_structure|breakout|momentum|candle_quality
2026-05-24 21:00:00,ETHUSDT,IGNITION,False,42.0,market_state|base_structure|reclaim|acceleration
2026-05-24 21:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 21:00:00,SOLUSDT,IGNITION,False,27.0,market_state|asset_shock|base_structure|reclaim|acceleration|rsi
2026-05-24 21:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,22.0,market_state|asset_shock|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 21:00:00,XRPUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|rsi
2026-05-24 21:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 21:00:00,LINKUSDT,IGNITION,False,28.0,market_state|base_structure|reclaim|acceleration|volume|rsi|relative_strength
2026-05-24 21:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,22.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi|relative_strength
2026-05-24 21:00:00,DOGEUSDT,IGNITION,False,28.0,market_state|base_structure|reclaim|acceleration|volume|rsi|relative_strength
2026-05-24 21:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,22.0,market_state|trend_structure|breakout|momentum|candle_quality|volume|rsi|relative_strength
2026-05-24 22:00:00,BTCUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|rsi
2026-05-24 22:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 22:00:00,ETHUSDT,IGNITION,False,27.0,market_state|asset_shock|base_structure|reclaim|acceleration|rsi
2026-05-24 22:00:00,ETHUSDT,ADAPTIVE_BREAKOUT,False,22.0,market_state|asset_shock|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 22:00:00,SOLUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|rsi
2026-05-24 22:00:00,SOLUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 22:00:00,XRPUSDT,IGNITION,False,37.0,market_state|base_structure|reclaim|acceleration|rsi
2026-05-24 22:00:00,XRPUSDT,ADAPTIVE_BREAKOUT,False,32.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi
2026-05-24 22:00:00,LINKUSDT,IGNITION,False,33.0,market_state|base_structure|reclaim|acceleration|rsi|relative_strength
2026-05-24 22:00:00,LINKUSDT,ADAPTIVE_BREAKOUT,False,28.0,market_state|trend_structure|breakout|momentum|candle_quality|rsi|relative_strength
2026-05-24 22:00:00,DOGEUSDT,IGNITION,False,23.0,market_state|asset_shock|base_structure|reclaim|acceleration|rsi|relative_strength
2026-05-24 22:00:00,DOGEUSDT,ADAPTIVE_BREAKOUT,False,18.0,market_state|asset_shock|trend_structure|breakout|momentum|candle_quality|rsi|relative_strength
2026-05-24 23:00:00,BTCUSDT,IGNITION,False,64.0,market_state|base_structure|acceleration
2026-05-24 23:00:00,BTCUSDT,ADAPTIVE_BREAKOUT,False,46.0,market_state|trend_structure|breakout|momentum
2026-05-24 23:00:00,ETHUSDT,IGNITION,False,32.0,market_state|base_structure|reclaim|higher_low|acceleration
