window,symbol,route,entry_time,exit_time,exit_reason,profit,realized_r,strict_mfe_r,strict_mae_r,strict_mfe_percent,strict_mae_percent,reached_0_5r,reached_1r,reached_2r,partial_profit_taken,bars_before_exit
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-03-30 01:00:00,2024-03-30 02:30:00,STOP LOSS,-26.23865785,-1.179275653801711,0.04952320303413254,1.019456886526365,0.06847359502441538,1.4095590292240563,False,False,False,False,6
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-03-31 19:00:00,2024-03-31 20:45:00,STOP LOSS,-2.46995434,-0.10714215542433046,1.3857026656857478,0.3337353781939849,1.295593316637697,0.3120332638601838,True,True,False,False,7
2024,LINKUSDT,IGNITION,2024-04-08 08:00:00,2024-04-08 17:30:00,STOP LOSS,26.59059367,0.8989295658328404,2.2247888409901133,0.07589569019128405,3.9113062450127445,0.1334289715704489,True,True,True,True,38
2024,LINKUSDT,IGNITION,2024-04-21 11:00:00,2024-04-21 14:00:00,STOP LOSS,-28.03545748,-1.2603013002139862,0.5249583127551873,1.2703125214508557,0.5011952665227559,1.2128098694432274,True,False,False,False,12
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-04-22 06:00:00,2024-04-22 07:45:00,STOP LOSS,-1.31081744,-0.0590938416163335,1.3023228723148434,0.16804973172743826,2.2076766813094286,0.28487518872760736,True,True,False,False,7
2024,LINKUSDT,IGNITION,2024-04-22 20:00:00,2024-04-23 00:15:00,STOP LOSS,-1.78248645,-0.08036815450318106,1.230495413172723,0.1442405229662171,1.533751599425954,0.1797886692084872,True,True,False,False,17
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-04-24 05:00:00,2024-04-24 08:30:00,STOP LOSS,-35.0446796,-1.1852764591327676,0.26298466980793384,1.1213427559323663,0.35193511562892965,1.5006193811865087,False,False,False,False,14
2024,LINKUSDT,IGNITION,2024-05-05 14:00:00,2024-05-05 18:45:00,STOP LOSS,7.63879424,0.34614629137117287,2.6478007731566295,0.5139332647280976,2.379996253096041,0.46195289947592005,True,True,True,True,19
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-05-06 06:00:00,2024-05-06 10:45:00,MARKET SEVERE SHOCK,50.73938595,2.059660702434336,5.412449527316188,0.8809171897695373,5.4266466336550625,0.8832278764476823,True,True,True,True,19
2024,SOLUSDT,ADAPTIVE_BREAKOUT,2024-05-18 10:00:00,2024-05-18 13:15:00,STOP LOSS,-34.63100938,-1.2150943872550197,0.4564239751658158,1.0724522363980589,0.5267146489594343,1.2376131271696411,False,False,False,False,13
