decision_time,state,score,btc_score,eth_score,breadth_score,new_entries_allowed,altcoins_allowed,risk_multiplier,reasons
2026-07-08 00:00:00,NEUTRAL,55.65027777777778,57.15,71.5,38.88888888888889,True,False,0.35,BTC composite 57.1 | ETH confirmation 71.5 | breadth 38.9
2026-07-08 01:00:00,NEUTRAL,56.13916666666666,59.15,73.5,33.33333333333333,True,False,0.35,BTC composite 59.1 | ETH confirmation 73.5 | breadth 33.3
2026-07-08 02:00:00,NEUTRAL,50.691944444444445,54.65,71.5,22.22222222222222,True,False,0.35,BTC composite 54.6 | ETH confirmation 71.5 | breadth 22.2
2026-07-08 03:00:00,NEUTRAL,50.691944444444445,54.65,71.5,22.22222222222222,True,False,0.35,BTC composite 54.6 | ETH confirmation 71.5 | breadth 22.2
2026-07-08 04:00:00,NEUTRAL,46.475833333333334,52.55,59.9,16.666666666666664,True,False,0.35,BTC composite 52.5 | ETH confirmation 59.9 | breadth 16.7
2026-07-08 05:00:00,NEUTRAL,46.475833333333334,52.55,59.9,16.666666666666664,True,False,0.35,BTC composite 52.5 | ETH confirmation 59.9 | breadth 16.7
2026-07-08 06:00:00,BEAR,41.07472222222222,45.949999999999996,59.9,11.11111111111111,False,False,0.0,BTC composite 45.9 | ETH confirmation 59.9 | breadth 11.1
2026-07-08 07:00:00,BEAR,41.85472222222222,47.15,59.9,11.11111111111111,False,False,0.0,BTC composite 47.1 | ETH confirmation 59.9 | breadth 11.1
2026-07-08 08:00:00,BEAR,41.92972222222222,47.15,60.4,11.11111111111111,False,False,0.0,BTC composite 47.1 | ETH confirmation 60.4 | breadth 11.1
2026-07-08 09:00:00,BEAR,38.218611111111116,43.15,60.4,5.555555555555555,False,False,0.0,BTC composite 43.1 | ETH confirmation 60.4 | breadth 5.6
2026-07-08 10:00:00,BEAR,32.711111111111116,34.4,61.6,5.555555555555555,False,False,0.0,BTC composite 34.4 | ETH confirmation 61.6 | breadth 5.6
2026-07-08 11:00:00,BEAR,32.711111111111116,34.4,61.6,5.555555555555555,False,False,0.0,BTC composite 34.4 | ETH confirmation 61.6 | breadth 5.6
2026-07-08 12:00:00,BEAR,31.18111111111111,33.2,56.6,5.555555555555555,False,False,0.0,BTC composite 33.2 | ETH confirmation 56.6 | breadth 5.6
2026-07-08 13:00:00,BEAR,31.18111111111111,33.2,56.6,5.555555555555555,False,False,0.0,BTC composite 33.2 | ETH confirmation 56.6 | breadth 5.6
2026-07-08 14:00:00,BEAR,31.18111111111111,33.2,56.6,5.555555555555555,False,False,0.0,BTC composite 33.2 | ETH confirmation 56.6 | breadth 5.6
2026-07-08 15:00:00,BEAR,31.18111111111111,33.2,56.6,5.555555555555555,False,False,0.0,BTC composite 33.2 | ETH confirmation 56.6 | breadth 5.6
2026-07-08 16:00:00,BEAR,24.5275,27.95,42.400000000000006,0.0,False,False,0.0,BTC composite 27.9 | ETH confirmation 42.4 | breadth 0.0
2026-07-08 17:00:00,BEAR,26.238611111111112,27.95,46.4,5.555555555555555,False,False,0.0,BTC composite 27.9 | ETH confirmation 46.4 | breadth 5.6
